country_name,airport_name,length_ft,width_ft,runway_type
Mauritania,Kiffa Airport,5208,95.0,Shortest
Mauritius,Sir Seewoosagur Ramgoolam International Airport,11056,148.0,Longest
Mauritius,Sir Charles Gaetan Duval Airport,4223,98.0,Shortest
Mayotte,Dzaoudzi Pamandzi International Airport,6330,92.0,Longest
Mayotte,Dzaoudzi Pamandzi International Airport,6330,92.0,Shortest
Mexico,Licenciado Adolfo Lopez Mateos International Airport,13780,148.0,Longest
Mexico,Ayuquila Airport,1804,,Shortest
Micronesia,Chuuk International Airport,6006,150.0,Longest
Micronesia,Kosrae International Airport,5750,150.0,Shortest
Moldova,Chişinău International Airport,11779,145.0,Longest
Moldova,Chadyr Lunga Airport,6463,,Shortest
Mongolia,Buyant-Ukhaa International Airport,10170,197.0,Longest
Mongolia,Binder Airport,3938,,Shortest
Montenegro,Tivat Airport,8208,148.0,Longest
Montenegro,Nikšić Airfield,3937,,Shortest
Montserrat,John A. Osborne Airport,1968,,Longest
Montserrat,John A. Osborne Airport,1968,,Shortest
Morocco,Mohammed V International Airport,12205,148.0,Longest
Morocco,Mohammed V International Airport,12205,148.0,Longest
Morocco,Kenitra Air Base,6035,150.0,Shortest
Mozambique,Maputo Airport,12008,148.0,Longest
Mozambique,Vilankulo Airport,2461,75.0,Shortest
Namibia,Hosea Kutako International Airport,15010,148.0,Longest
Namibia,Karasburg Airport,2750,,Shortest
Nauru,Nauru International Airport,7054,148.0,Longest
Nauru,Nauru International Airport,7054,148.0,Shortest
Nepal,Tribhuvan International Airport,10007,148.0,Longest
Nepal,Lukla Airport,1616,98.0,Shortest
Netherlands,Amsterdam Airport Schiphol,12467,198.0,Longest
Netherlands,Stadskanaal Airfield,984,99.0,Shortest
New Caledonia,La Tontouta International Airport,10663,148.0,Longest
New Caledonia,Île Art - Waala Airport,1969,66.0,Shortest
New Zealand,Auckland International Airport,11926,148.0,Longest
New Zealand,Fern Gully Heliport,16,16.0,Shortest
Nicaragua,Punta Huete (Panchito) Airport,9862,148.0,Longest
Nicaragua,Leon (Fanor Urroz) Airport,3048,82.0,Shortest
Niger,Mano Dayak International Airport,9843,98.0,Longest
Niger,Diori Hamani International Airport,9843,148.0,Longest
Niger,Iferouane Airport,4438,196.0,Shortest
Nigeria,Murtala Muhammed International Airport,12794,197.0,Longest
Nigeria,Forçados Terminal Airport,3165,60.0,Shortest
Niue,Niue International Airport,7660,148.0,Longest
Niue,Niue International Airport,7660,148.0,Shortest
Norfolk Island,Norfolk Island International Airport,6398,150.0,Longest
Norfolk Island,Norfolk Island International Airport,4708,98.0,Shortest
Northern Mariana Islands,Saipan International Airport,8700,200.0,Longest
Northern Mariana Islands,Pagan Airstrip,1500,120.0,Shortest
North Korea,Pyongyang Sunan International Airport,12475,197.0,Longest
North Korea,Chik-Tong Airstrip,880,49.0,Shortest
North Macedonia,Skopje International Airport,9678,148.0,Longest
North Macedonia,Veles Airstrip,980,80.0,Shortest
North Macedonia,Negotino Airfield,980,66.0,Shortest
North Macedonia,Štip Airstrip,980,68.0,Shortest
